iter	Passed	Remaining
0	154	153913
1	155	77458
2	156	51863
3	156	39059
4	157	31378
5	158	26255
6	159	22599
7	160	19852
8	160	17717
9	161	16007
10	162	14608
11	163	13443
12	164	12458
13	164	11614
14	165	10881
15	166	10239
16	167	9677
17	168	9175
18	168	8724
19	169	8320
20	170	7954
21	171	7621
22	172	7316
23	173	7036
24	173	6779
25	174	6540
26	175	6319
27	176	6115
28	176	5924
29	177	5747
30	178	5580
31	179	5424
32	180	5278
33	180	5140
34	181	5010
35	182	4887
36	183	4771
37	184	4661
38	184	4557
39	185	4457
40	186	4363
41	187	4272
42	188	4187
43	188	4105
44	189	4028
45	190	3953
46	191	3880
47	192	3812
48	193	3745
49	193	3682
50	194	3620
51	195	3561
52	196	3508
53	197	3454
54	197	3401
55	198	3350
56	199	3302
57	200	3254
58	201	3208
59	202	3164
60	202	3122
61	203	3080
62	204	3040
63	205	3001
64	205	2962
65	206	2926
66	207	2890
67	208	2856
68	209	2822
69	209	2789
70	210	2758
71	211	2727
72	212	2696
73	213	2667
74	213	2638
75	214	2611
76	215	2584
77	216	2557
78	217	2531
79	217	2506
80	218	2481
81	219	2457
82	219	2430
83	220	2407
84	221	2384
85	222	2363
86	223	2341
87	223	2320
88	224	2301
89	225	2281
90	226	2261
91	227	2242
92	228	2223
93	228	2205
94	229	2188
95	230	2171
96	231	2154
97	232	2137
98	233	2120
99	233	2104
100	234	2089
101	235	2073
102	236	2057
103	237	2042
104	237	2027
105	238	2012
106	239	1999
107	240	1985
108	241	1971
109	241	1957
110	242	1944
111	243	1931
112	244	1918
113	245	1906
114	246	1893
115	246	1881
116	247	1868
117	248	1856
118	249	1845
119	250	1833
120	250	1821
121	251	1809
122	252	1798
123	253	1787
124	253	1777
125	254	1767
126	255	1755
127	256	1745
128	256	1735
129	257	1725
130	258	1714
131	259	1705
132	260	1697
133	261	1688
134	262	1680
135	263	1670
136	263	1661
137	264	1652
138	265	1644
139	266	1635
140	267	1627
141	267	1617
142	268	1608
143	269	1600
144	269	1592
145	270	1583
146	271	1575
147	272	1567
148	273	1560
149	273	1552
150	274	1545
151	275	1538
152	276	1531
153	277	1524
154	278	1516
155	279	1509
156	279	1502
157	280	1495
158	281	1488
159	282	1481
160	282	1473
161	283	1466
162	284	1460
163	285	1453
164	285	1447
165	286	1440
166	287	1434
167	288	1427
168	289	1421
169	290	1415
170	290	1410
171	291	1404
172	292	1398
173	293	1392
174	294	1387
175	295	1382
176	296	1376
177	297	1371
178	297	1366
179	298	1360
180	299	1355
181	300	1350
182	301	1345
183	302	1340
184	303	1335
185	303	1330
186	304	1325
187	305	1320
188	306	1316
189	307	1311
190	308	1306
191	309	1301
192	310	1297
193	311	1292
194	311	1287
195	312	1282
196	313	1277
197	314	1272
198	315	1268
199	315	1263
200	316	1258
201	317	1254
202	318	1249
203	319	1245
204	320	1241
205	320	1236
206	321	1232
207	322	1228
208	323	1224
209	324	1220
210	325	1216
211	326	1212
212	326	1208
213	327	1203
214	328	1199
215	329	1195
216	330	1191
217	330	1186
218	331	1182
219	332	1178
220	333	1174
221	334	1170
222	334	1167
223	335	1163
224	337	1160
225	337	1157
226	338	1153
227	339	1150
228	340	1146
229	341	1142
230	342	1139
231	343	1135
232	343	1131
233	344	1128
234	345	1124
235	346	1121
236	347	1117
237	347	1113
238	348	1110
239	349	1106
240	350	1103
241	351	1100
242	352	1097
243	353	1094
244	354	1091
245	354	1087
246	355	1084
247	356	1081
248	357	1078
249	358	1074
250	359	1071
251	359	1068
252	360	1064
253	361	1061
254	362	1058
255	363	1055
256	363	1051
257	364	1048
258	365	1045
259	366	1043
260	367	1040
261	368	1037
262	369	1034
263	370	1031
264	370	1028
265	371	1025
266	372	1022
267	373	1019
268	374	1016
269	374	1013
270	375	1010
271	376	1007
272	377	1004
273	378	1001
274	378	998
275	379	996
276	380	993
277	381	991
278	382	988
279	383	985
280	384	983
281	385	980
282	386	978
283	386	975
284	387	973
285	388	970
286	389	968
287	390	965
288	391	962
289	392	960
290	392	957
291	393	954
292	394	952
293	395	950
294	396	948
295	397	945
296	398	943
297	399	940
298	400	938
299	400	935
300	401	933
301	402	930
302	403	928
303	404	925
304	405	923
305	405	920
306	406	918
307	407	916
308	408	913
309	409	911
310	410	909
311	411	907
312	412	904
313	413	902
314	414	900
315	414	898
316	415	895
317	416	893
318	417	890
319	418	888
320	418	886
321	419	883
322	420	881
323	421	879
324	422	877
325	423	875
326	424	873
327	425	871
328	426	869
329	427	867
330	428	865
331	429	863
332	429	861
333	430	858
334	431	856
335	432	855
336	433	853
337	434	851
338	435	849
339	436	847
340	437	845
341	438	843
342	439	841
343	440	839
344	441	837
345	442	836
346	443	834
347	444	832
348	445	830
349	445	828
350	446	825
351	447	823
352	448	821
353	449	819
354	449	817
355	450	815
356	451	813
357	452	810
358	452	808
359	453	806
360	454	805
361	455	803
362	456	801
363	457	799
364	458	797
365	459	795
366	459	793
367	460	791
368	461	789
369	462	787
370	463	785
371	464	783
372	464	781
373	465	779
374	466	777
375	467	775
376	467	773
377	468	771
378	469	769
379	470	767
380	471	765
381	472	764
382	473	762
383	473	760
384	474	758
385	475	756
386	476	754
387	477	752
388	477	750
389	478	748
390	479	746
391	480	744
392	480	742
393	481	740
394	482	738
395	483	737
396	484	735
397	485	733
398	485	731
399	486	730
400	487	728
401	488	726
402	489	724
403	489	722
404	490	720
405	491	719
406	492	717
407	492	715
408	493	713
409	494	711
410	495	709
411	496	708
412	496	706
413	497	704
414	498	702
415	499	700
416	500	699
417	501	697
418	501	695
419	502	694
420	503	692
421	504	690
422	505	688
423	505	687
424	506	685
425	507	683
426	508	681
427	508	680
428	509	678
429	510	676
430	511	675
431	512	673
432	512	671
433	513	669
434	514	668
435	515	666
436	516	665
437	517	663
438	518	662
439	518	660
440	519	658
441	520	657
442	521	655
443	522	653
444	522	652
445	523	650
446	524	648
447	525	647
448	526	645
449	526	643
450	527	642
451	528	640
452	529	639
453	530	637
454	531	636
455	531	634
456	532	632
457	533	631
458	534	629
459	535	628
460	535	626
461	536	624
462	537	623
463	538	621
464	539	620
465	539	618
466	540	616
467	541	615
468	542	613
469	542	612
470	543	610
471	544	609
472	545	607
473	546	606
474	546	604
475	547	602
476	548	601
477	549	599
478	550	598
479	550	596
480	551	595
481	552	593
482	553	592
483	554	590
484	554	589
485	555	587
486	556	586
487	557	584
488	557	583
489	558	581
490	559	580
491	560	578
492	561	577
493	562	575
494	562	574
495	563	572
496	564	571
497	565	569
498	566	568
499	566	566
500	567	565
501	568	563
502	569	562
503	569	560
504	570	559
505	571	558
506	572	556
507	573	555
508	573	553
509	574	552
510	575	550
511	576	549
512	577	548
513	578	546
514	579	545
515	579	543
516	580	542
517	581	540
518	582	539
519	582	538
520	583	536
521	584	535
522	585	533
523	585	532
524	586	530
525	587	529
526	588	528
527	589	526
528	590	525
529	591	524
530	592	522
531	592	521
532	593	520
533	594	518
534	595	517
535	596	515
536	596	514
537	597	513
538	598	511
539	599	510
540	599	508
541	600	507
542	601	506
543	602	504
544	603	503
545	603	502
546	604	500
547	605	499
548	606	498
549	607	497
550	622	507
551	624	506
552	625	505
553	626	504
554	627	503
555	628	501
556	629	500
557	630	499
558	631	498
559	632	497
560	633	495
561	634	494
562	635	493
563	636	492
564	638	491
565	639	490
566	640	488
567	641	487
568	642	486
569	643	485
570	644	483
571	644	482
572	646	481
573	647	480
574	648	479
575	649	477
576	649	476
577	650	475
578	651	474
579	652	472
580	653	471
581	655	470
582	656	469
583	657	468
584	658	466
585	659	466
586	661	465
587	662	464
588	663	463
589	664	462
590	665	460
591	666	459
592	667	458
593	668	457
594	669	455
595	670	454
596	671	453
597	672	451
598	673	450
599	673	449
600	674	448
601	675	446
602	676	445
603	677	444
604	678	442
605	678	441
606	679	440
607	680	439
608	681	437
609	682	436
610	683	435
611	684	434
612	685	432
613	686	431
614	687	430
615	688	429
616	689	427
617	690	426
618	691	425
619	691	424
620	692	422
621	693	421
622	694	420
623	695	418
624	696	417
625	697	416
626	697	415
627	698	413
628	699	412
629	700	411
630	701	410
631	702	408
632	703	407
633	704	406
634	704	405
635	705	403
636	706	402
637	707	401
638	708	399
639	708	398
640	709	397
641	710	396
642	711	394
643	712	393
644	712	392
645	713	391
646	714	389
647	715	388
648	716	387
649	716	386
650	717	384
651	718	383
652	719	382
653	720	380
654	720	379
655	721	378
656	722	377
657	723	375
658	724	374
659	724	373
660	725	372
661	726	370
662	727	369
663	728	368
664	729	367
665	729	366
666	730	364
667	731	363
668	732	362
669	733	361
670	734	359
671	734	358
672	735	357
673	736	356
674	737	354
675	737	353
676	738	352
677	739	351
678	740	350
679	741	348
680	742	347
681	743	346
682	744	345
683	745	344
684	745	342
685	746	341
686	747	340
687	748	339
688	749	338
689	749	336
690	750	335
691	751	334
692	752	333
693	753	332
694	753	330
695	754	329
696	755	328
697	756	327
698	757	326
699	758	325
700	759	323
701	759	322
702	760	321
703	761	320
704	762	318
705	763	317
706	763	316
707	764	315
708	765	314
709	766	313
710	767	311
711	767	310
712	768	309
713	769	308
714	770	307
715	771	305
716	771	304
717	772	303
718	773	302
719	774	301
720	775	300
721	776	298
722	776	297
723	777	296
724	778	295
725	779	294
726	780	292
727	780	291
728	781	290
729	782	289
730	783	288
731	784	287
732	784	285
733	785	284
734	786	283
735	787	282
736	788	281
737	789	280
738	790	279
739	790	277
740	791	276
741	792	275
742	793	274
743	794	273
744	794	272
745	795	270
746	796	269
747	797	268
748	798	267
749	798	266
750	799	265
751	800	264
752	801	262
753	802	261
754	803	260
755	804	259
756	805	258
757	805	257
758	806	256
759	807	254
760	808	253
761	809	252
762	809	251
763	810	250
764	811	249
765	812	248
766	813	247
767	813	245
768	814	244
769	815	243
770	816	242
771	817	241
772	818	240
773	819	239
774	819	238
775	820	236
776	821	235
777	822	234
778	823	233
779	823	232
780	824	231
781	825	230
782	826	228
783	826	227
784	827	226
785	828	225
786	829	224
787	830	223
788	831	222
789	832	221
790	832	220
791	833	218
792	834	217
793	835	216
794	836	215
795	837	214
796	838	213
797	838	212
798	839	211
799	840	210
800	841	208
801	842	207
802	842	206
803	843	205
804	844	204
805	845	203
806	846	202
807	847	201
808	848	200
809	849	199
810	849	198
811	850	196
812	851	195
813	852	194
814	853	193
815	853	192
816	854	191
817	855	190
818	856	189
819	857	188
820	857	187
821	858	185
822	859	184
823	860	183
824	861	182
825	862	181
826	863	180
827	863	179
828	864	178
829	865	177
830	866	176
831	867	175
832	867	174
833	868	172
834	869	171
835	870	170
836	871	169
837	871	168
838	872	167
839	873	166
840	876	165
841	876	164
842	878	163
843	879	162
844	880	161
845	880	160
846	881	159
847	882	158
848	883	157
849	884	156
850	885	154
851	885	153
852	886	152
853	887	151
854	888	150
855	889	149
856	890	148
857	891	147
858	892	146
859	893	145
860	894	144
861	895	143
862	896	142
863	897	141
864	898	140
865	899	139
866	899	138
867	900	136
868	901	135
869	902	134
870	903	133
871	904	132
872	905	131
873	907	130
874	908	129
875	909	128
876	910	127
877	910	126
878	911	125
879	912	124
880	913	123
881	914	122
882	915	121
883	916	120
884	917	119
885	918	118
886	919	117
887	920	116
888	921	115
889	922	114
890	923	113
891	924	111
892	925	110
893	926	109
894	927	108
895	928	107
896	928	106
897	929	105
898	930	104
899	931	103
900	932	102
901	933	101
902	934	100
903	934	99
904	935	98
905	936	97
906	937	96
907	938	95
908	939	94
909	940	92
910	940	91
911	941	90
912	942	89
913	943	88
914	943	87
915	944	86
916	945	85
917	946	84
918	947	83
919	947	82
920	948	81
921	949	80
922	950	79
923	951	78
924	952	77
925	952	76
926	953	75
927	954	74
928	955	73
929	956	71
930	956	70
931	957	69
932	958	68
933	959	67
934	960	66
935	960	65
936	961	64
937	962	63
938	963	62
939	964	61
940	964	60
941	965	59
942	966	58
943	967	57
944	968	56
945	969	55
946	970	54
947	970	53
948	971	52
949	972	51
950	973	50
951	974	49
952	975	48
953	975	47
954	976	46
955	977	44
956	978	43
957	978	42
958	979	41
959	980	40
960	981	39
961	982	38
962	983	37
963	984	36
964	984	35
965	985	34
966	986	33
967	987	32
968	988	31
969	988	30
970	989	29
971	990	28
972	991	27
973	992	26
974	992	25
975	993	24
976	994	23
977	995	22
978	996	21
979	997	20
980	997	19
981	998	18
982	999	17
983	1000	16
984	1001	15
985	1001	14
986	1002	13
987	1003	12
988	1004	11
989	1005	10
990	1005	9
991	1006	8
992	1007	7
993	1008	6
994	1009	5
995	1010	4
996	1010	3
997	1011	2
998	1012	1
999	1013	0
